pos_x,pos_y,left_border_x,left_border_y,right_border_x,right_border_y,throttle,brake,target_speed,yaw
347.8206787109375,-201.16807556152344,347.6155805489376,-203.31099773690184,348.7376023366799,-191.5878045753185,0.13495001196861267,0.0,30.547502517700195,-84.53289841191118
346.2394714355469,-201.0155792236328,346.0331207716444,-203.1551923812829,347.16396120523143,-191.42971001477412,0.13495001196861267,0.0,30.54802894592285,-84.49126164110079
344.65850830078125,-200.86204528808594,344.45096625192036,-202.99913847855257,345.5896911517182,-191.2735086963964,0.1389000117778778,0.0,30.548337936401367,-84.45316153365413
343.0775451660156,-200.70742797851562,342.86874186283796,-202.8424432989775,344.01552932216157,-191.1165330393783,0.1389000117778778,0.0,30.54956817626953,-84.4142683135262
341.49658203125,-200.55125427246094,341.28563267005967,-202.68671722438353,342.4440225363854,-190.96021267626392,0.14285001158714294,0.0,30.552202224731445,-84.3584025926354
339.9156188964844,-200.39346313476562,339.7023530067163,-202.53024669910886,340.8727785187893,-190.80335497626933,0.14285001158714294,0.0,30.55742073059082,-84.30035746149552
338.3344421386719,-200.23439025878906,338.1193665993765,-202.37223080401117,339.2989133183943,-190.64759298995872,0.14285001158714294,0.0,30.56529426574707,-84.25513882669283
336.7530822753906,-200.0741729736328,336.53625065945926,-202.21432167350562,337.72394655021316,-190.49165011787025,0.14285001158714294,0.0,30.565982818603516,-84.21475371018683
335.1717224121094,-199.91270446777344,334.9527775631302,-202.05696532288613,336.1496752506873,-190.33501401428057,0.14285001158714294,0.0,30.56806182861328,-84.16988371705256
333.5903625488281,-199.74966430664062,333.3687501129463,-201.89912864029014,334.57708404879367,-190.17925070154666,0.14285001158714294,0.0,30.572174072265625,-84.11353280075046
332.00897216796875,-199.58485412597656,331.78432564524917,-201.74038753229183,333.0054647726108,-190.0232857008405,0.14285001158714294,0.0,30.581878662109375,-84.05019731554245
330.42724609375,-199.41880798339844,330.20011781204994,-201.58239167031508,331.4299043858504,-189.86766310569837,0.14285001158714294,0.0,30.586505889892578,-84.0071644651187
328.845458984375,-199.25148010253906,328.6155403365031,-201.42495144240686,329.8547010492091,-189.710893798603,0.14285001158714294,0.0,30.592863082885742,-83.96147656937416
327.26336669921875,-199.08306884765625,327.0309882163402,-201.2660833098093,328.277639623658,-189.55476641968156,0.14685001969337463,0.0,30.598941802978516,-83.92383496481624
325.68096923828125,-198.9144744873047,325.4473342187904,-201.10733230803777,326.69490164803165,-189.39788053122214,0.14685001969337463,0.0,30.604639053344727,-83.91844244361423
324.09820556640625,-198.74554443359375,323.86297576073684,-200.94949324422322,325.112675021401,-189.24063181253916,0.14685001969337463,0.0,30.61512565612793,-83.90782357780937
322.51507568359375,-198.5762481689453,322.2781937575169,-200.79138774481996,323.53021808253874,-189.08340867590002,0.14685001969337463,0.0,30.624521255493164,-83.8961180542554
320.9313049316406,-198.4069061279297,320.693257287283,-200.63324575655244,321.94512689510816,-188.9251403254292,0.14685001969337463,0.0,30.63567543029785,-83.89693201236074
319.34698486328125,-198.23794555664062,319.10845136383057,-200.47464141575395,320.3569880931939,-188.76728400495406,0.14685001969337463,0.0,30.643787384033203,-83.91267220168056
317.76220703125,-198.0694580078125,317.523242835717,-200.31713246425673,318.7679940962452,-188.60912069841189,0.14685001969337463,0.0,30.651662826538086,-83.93132723144744
316.1769714355469,-197.90174865722656,315.93823686167383,-200.15833448924124,317.1767676034602,-188.4513961975312,0.14685001969337463,0.0,30.661401748657227,-83.96088055581629
314.59100341796875,-197.73448181152344,314.35195748642707,-200.00103499822106,315.58677668786305,-188.29289431596865,0.14685001969337463,0.0,30.67278480529785,-83.9794588231771
313.004638671875,-197.56719970703125,312.76456686769916,-199.8438415978764,313.99915565370776,-188.1360254391061,0.14285001158714294,0.0,30.681072235107422,-83.98040837366827
311.4177551269531,-197.40045166015625,311.17762847666353,-199.68565401894259,312.4078802926729,-187.9777725803128,0.14285001158714294,0.0,30.689189910888672,-84.00143326345152
